ListOfficeName,transaction_count,total_sales_volume,median_close_price,median_price_per_sqft,average_days_on_market,median_days_on_market,average_price_ratio,average_original_price_ratio,average_listing_to_contract_days,average_contract_to_close_days,transaction_share_pct,sales_volume_share_pct,transaction_count_rank,sales_volume_rank
CCG RE Investment Services Inc,4,4242500.0,891250.0,546.65,78.75,65.5,0.9895,0.9638,78.75,25.75,0.00089406,0.00079538,7515,7370
California Home Sales,6,4240000.0,759000.0,536.98,77.33,40.0,0.9225,0.918,87.67,62.0,0.0013411,0.00079491,5843,7372
BVM Realty,5,4240000.0,850000.0,531.09,84.0,80.0,0.9308,0.8647,86.6,35.2,0.00111758,0.00079491,6570,7372
"Shorecrest Real Estate, Inc",2,4240000.0,2120000.0,1721.65,16.0,16.0,0.9752,0.9537,35.0,32.0,0.00044703,0.00079491,10564,7372
FATHOM REALTY GROUP INC,5,4239000.0,785000.0,474.96,27.0,12.0,1.0149,0.996,35.8,30.8,0.00111758,0.00079473,6570,7375
Ashby & Graff Real Estate,6,4238900.0,565000.0,460.19,19.67,18.5,1.0077,0.9933,19.67,18.33,0.0013411,0.00079471,5843,7376
Time To Sell Realty,6,4238000.0,700000.0,523.39,50.5,55.5,0.9832,0.9721,68.83,36.83,0.0013411,0.00079454,5843,7377
Santa Cruz Properties,5,4237500.0,609000.0,763.51,45.8,11.0,0.9873,0.915,46.0,22.2,0.00111758,0.00079445,6570,7378
Transcend Real Estate Services,6,4235000.0,710000.0,527.97,37.83,35.0,1.0229,1.0166,49.33,42.33,0.0013411,0.00079398,5843,7379
Gary Fallis Real Estate Svcs,3,4235000.0,1200000.0,755.67,34.0,48.0,0.9929,0.9988,35.33,60.0,0.00067055,0.00079398,8812,7379
New America Realty,7,4232000.0,590000.0,395.74,53.86,51.0,0.9689,0.9569,70.0,30.14,0.00156461,0.00079342,5273,7381
George Ross,3,4232000.0,1065000.0,814.17,25.67,9.0,0.9858,0.9858,36.67,37.0,0.00067055,0.00079342,8812,7381
"Vincent Jaramillo, Broker",4,4231000.0,1125000.0,488.36,44.25,48.0,1.0047,0.9552,95.0,21.75,0.00089406,0.00079323,7515,7383
KELLER WILLIAMS-RANCHO MIRAGE,7,4230000.0,525000.0,297.62,84.29,47.0,0.9788,0.9547,85.86,33.29,0.00156461,0.00079304,5273,7384
Spangler Realty,5,4230000.0,850000.0,485.7,43.6,29.0,0.9724,0.952,42.4,23.4,0.00111758,0.00079304,6570,7384
Your 1st Realty,3,4230000.0,1380000.0,712.83,7.67,7.0,1.0074,1.0074,23.33,21.0,0.00067055,0.00079304,8812,7384
"Anne Reyes, Broker",2,4230000.0,2115000.0,1060.26,40.0,40.0,0.9656,0.9509,40.0,43.5,0.00044703,0.00079304,10564,7384
Doubletree Realtors,4,4228088.0,1079044.0,593.62,6.5,7.0,1.0431,1.0431,6.75,49.5,0.00089406,0.00079268,7515,7388
Royal Nest,3,4228000.0,949000.0,588.71,33.67,26.0,1.0227,1.0227,33.67,1.33,0.00067055,0.00079267,8812,7389
"Bryan W. Smith, Inc.",8,4225000.0,508500.0,328.7,12.25,4.5,0.9923,0.979,12.88,21.25,0.00178813,0.0007921,4808,7390
"Joanne Loyola Mullins, Broker",5,4225000.0,650000.0,618.74,28.4,15.0,0.9986,0.9951,43.2,32.2,0.00111758,0.0007921,6570,7390
"George Chung, Realtors",3,4225000.0,1200000.0,1305.97,22.0,29.0,0.9374,0.9374,22.0,23.33,0.00067055,0.0007921,8812,7390
Sola Real Estate and Property Management,3,4225000.0,1040000.0,556.45,36.67,24.0,0.9615,0.951,42.0,33.0,0.00067055,0.0007921,8812,7390
Arora Realty,2,4225000.0,2112500.0,530.49,71.0,71.0,0.9811,0.9422,74.0,40.5,0.00044703,0.0007921,10564,7390
Price Real Estate Group Inc,4,4222500.0,978750.0,548.48,61.75,48.0,0.9927,0.9544,62.25,23.0,0.00089406,0.00079163,7515,7395
"Century 21 Hometown Realty, Los Osos Office",3,4222000.0,1090000.0,726.67,7.67,6.0,0.9971,0.9971,7.67,19.67,0.00067055,0.00079154,8812,7396
BMR Enterprises,3,4221000.0,1223500.0,538.99,34.33,19.0,1.0025,0.9847,34.67,29.33,0.00067055,0.00079135,8812,7397
Vina Home Investment,4,4220000.0,1000000.0,662.08,45.5,45.0,0.9639,0.96,52.75,31.75,0.00089406,0.00079117,7515,7398
"Natalie Vizir, Broker",1,4220000.0,4220000.0,1885.61,9.0,9.0,1.089,1.089,10.0,29.0,0.00022352,0.00079117,13484,7398
Warren Properties & Associates,7,4218000.0,540000.0,364.65,40.57,18.0,0.9925,0.9667,42.14,35.86,0.00156461,0.00079079,5273,7400
Real Estate by Paula,5,4217000.0,843000.0,625.65,4.6,4.0,1.013,1.013,4.8,33.8,0.00111758,0.0007906,6570,7401
Lifestyle Global Properties,5,4215000.0,900000.0,510.78,31.2,31.0,0.9972,0.9715,32.0,46.8,0.00111758,0.00079023,6570,7402
American Prestige Realty,4,4214000.0,837500.0,688.67,34.5,34.0,1.0317,0.9902,34.5,28.25,0.00089406,0.00079004,7515,7403
iResidential Real Estate,2,4214000.0,2107000.0,1076.31,31.0,31.0,1.0522,1.0385,31.0,18.5,0.00044703,0.00079004,10564,7403
Kenmore Realty Group,5,4213000.0,769000.0,565.69,16.8,12.0,0.9843,0.9741,26.2,23.8,0.00111758,0.00078985,6570,7405
TurboHome Brokerage Inc.,5,4212000.0,677000.0,501.11,31.6,19.0,0.9619,0.94,45.4,66.8,0.00111758,0.00078967,6570,7406
Salimi Investments,4,4212000.0,1063500.0,383.52,25.0,26.5,1.0341,1.0104,25.0,29.75,0.00089406,0.00078967,7515,7406
Marina Fine Homes and Estates,1,4210700.0,4210700.0,987.73,88.0,88.0,0.7388,0.7812,88.0,15.0,0.00022352,0.00078942,13484,7408
Rear View Mirror Holdings Inc.,7,4210000.0,650000.0,597.69,25.71,12.0,1.0023,0.9865,37.0,37.0,0.00156461,0.00078929,5273,7409
"CCR Properties, Inc.",3,4210000.0,1210000.0,838.77,18.33,16.0,1.0157,0.9901,18.33,45.33,0.00067055,0.00078929,8812,7409
One West Realty,5,4209000.0,750000.0,467.58,27.2,30.0,1.0057,1.0087,37.0,39.4,0.00111758,0.0007891,6570,7411
Unreal Estate Brokerage Inc.,5,4209000.0,924000.0,373.33,28.2,13.0,0.9615,0.9312,32.0,43.6,0.00111758,0.0007891,6570,7411
Riviera Coast Properties,5,4205000.0,635000.0,689.85,48.8,46.0,0.9566,0.9226,51.4,40.4,0.00111758,0.00078835,6570,7413
New Beginning Mortgage,3,4205000.0,1175000.0,640.9,28.0,30.0,0.9848,0.9759,38.33,28.0,0.00067055,0.00078835,8812,7413
Realty California,6,4204150.0,736500.0,588.55,39.33,37.5,0.9928,0.9508,40.67,35.33,0.0013411,0.00078819,5843,7415
AGR and Associates,7,4204000.0,549000.0,361.32,36.71,30.0,0.9224,0.904,62.0,51.29,0.00156461,0.00078817,5273,7416
Buyers First Real Estate Co,3,4203950.0,763000.0,799.79,10.67,10.0,1.0692,1.0692,10.67,28.33,0.00067055,0.00078816,8812,7417
Dragonfly Properties Inc.,3,4203000.0,1110000.0,647.61,21.33,10.0,1.0049,1.0049,29.33,29.0,0.00067055,0.00078798,8812,7418
ANAYA REAL ESTATE,9,4200000.0,484000.0,351.25,51.11,18.0,0.9951,0.9771,59.33,46.78,0.00201165,0.00078742,4401,7419
Roll Tide Properties Corp.,6,4200000.0,730000.0,462.02,70.0,15.0,0.9842,0.958,70.17,34.5,0.0013411,0.00078742,5843,7419
Pacific Desert Inc dba Desert Sotheby's International Realty,1,4200000.0,4200000.0,916.23,8.0,8.0,1.0633,1.0633,13.0,10.0,0.00022352,0.00078742,13484,7419
Terra Homes and Investments,1,4200000.0,4200000.0,1324.92,30.0,30.0,0.9567,0.9567,30.0,35.0,0.00022352,0.00078742,13484,7419
SeaRock Real Estate,2,4199000.0,2099500.0,947.62,33.0,33.0,1.011,0.9918,33.5,34.5,0.00044703,0.00078723,10564,7423
Beverly Hills Fabulous Estates Inc.,3,4197888.0,1398000.0,523.79,73.67,26.0,0.993,0.9589,73.67,53.0,0.00067055,0.00078702,8812,7424
California Curb Appeal Real Property Specialists,10,4197000.0,396500.0,329.28,37.1,19.5,1.0172,1.0179,46.4,36.5,0.00223516,0.00078685,4060,7425
"Gary Karasawa, Broker",5,4196000.0,760000.0,534.26,9.6,7.0,1.0295,1.022,16.0,38.0,0.00111758,0.00078667,6570,7426
Gosnell REALTORS,4,4195000.0,903000.0,463.37,47.5,30.5,1.003,0.986,47.75,13.5,0.00089406,0.00078648,7515,7427
"Pacific Street Real Estate, Inc.",4,4195000.0,922500.0,760.68,148.25,177.5,0.9645,0.9083,116.25,60.5,0.00089406,0.00078648,7515,7427
"VRESI, Inc.",2,4195000.0,2097500.0,761.34,24.5,24.5,1.025,1.025,25.0,42.5,0.00044703,0.00078648,10564,7427
Hilgard Agency,5,4193900.0,700000.0,370.04,27.0,8.0,0.9962,0.9962,28.0,16.6,0.00111758,0.00078627,6570,7430
Beach Break Realty,6,4193000.0,582500.0,552.58,19.0,16.5,0.9867,0.9744,20.83,24.83,0.0013411,0.0007861,5843,7431
Bay Homes Realty,5,4193000.0,869000.0,614.84,104.8,57.0,1.0194,0.9322,113.6,32.4,0.00111758,0.0007861,6570,7431
Pacific Properties,4,4193000.0,932500.0,401.86,43.5,49.0,0.9841,0.9362,43.5,21.75,0.00089406,0.0007861,7515,7431
RE/MAX Bayview,3,4193000.0,1199000.0,716.3,14.33,14.0,1.0048,1.0048,14.33,26.33,0.00067055,0.0007861,8812,7431
Scotti and Associates Inc,4,4190000.0,907500.0,590.04,20.5,16.5,0.9923,0.96,29.75,28.75,0.00089406,0.00078554,7515,7435
Tee Frank Realty,4,4190000.0,1067500.0,673.89,13.0,10.0,1.0561,1.0561,13.0,25.75,0.00089406,0.00078554,7515,7435
Jennifer Williams,3,4190000.0,1440000.0,1339.89,94.0,119.0,0.9412,0.9011,94.0,28.0,0.00067055,0.00078554,8812,7435
M2 Real Estate,4,4188500.0,1053000.0,595.42,49.0,31.5,1.0432,1.0301,49.0,27.75,0.00089406,0.00078526,7515,7438
"Coral Bergmann, Broker",3,4185000.0,1050000.0,485.12,11.33,10.0,1.0065,0.9981,12.0,31.67,0.00067055,0.0007846,8812,7439
Opus Commercial Group,1,4185000.0,4185000.0,789.62,129.0,129.0,0.9555,0.93,129.0,18.0,0.00022352,0.0007846,13484,7439
"REIMCORP, Inc.",6,4184000.0,755000.0,380.77,8.67,8.0,1.015,1.015,11.5,30.0,0.0013411,0.00078442,5843,7441
Alicia Martha Rodriguez,4,4180000.0,917500.0,554.72,59.0,37.0,0.9837,0.977,68.5,35.0,0.00089406,0.00078367,7515,7442
CAMBRIDGE CONSOLIDATED,4,4180000.0,1135000.0,757.36,22.0,15.5,1.0096,1.1291,24.5,48.0,0.00089406,0.00078367,7515,7442
Virtual Real Estate Co.,4,4180000.0,762500.0,444.2,70.25,65.5,0.9543,0.9427,70.25,16.25,0.00089406,0.00078367,7515,7442
Foundation Trust,2,4180000.0,2090000.0,1281.3,6.5,6.5,1.0506,1.0506,6.5,19.5,0.00044703,0.00078367,10564,7442
Real E-State,3,4178000.0,1460000.0,722.13,73.67,76.0,0.9673,1.0201,73.67,23.67,0.00067055,0.00078329,8812,7446
Lafferrty Communities,4,4177644.0,1048138.0,383.74,292.75,297.5,0.9735,1.0088,292.75,24.5,0.00089406,0.00078322,7515,7447
PROSPERA REALTORS,7,4177000.0,580000.0,489.91,34.71,15.0,0.9906,0.9832,35.29,35.14,0.00156461,0.0007831,5273,7448
Flat Fee Inc.,6,4176000.0,645000.0,531.49,9.0,7.0,0.9959,1.0254,9.33,35.83,0.0013411,0.00078292,5843,7449
"LK & ASSOCIATES, INC",7,4174000.0,580000.0,436.82,20.0,10.0,1.0096,1.0096,20.14,32.29,0.00156461,0.00078254,5273,7450
Irvine Newport Properties,5,4173500.0,910000.0,591.92,38.0,42.0,0.9358,0.9139,45.8,20.0,0.00111758,0.00078245,6570,7451
IN GROUP REALTY & INVESTMENT,3,4172000.0,1300000.0,634.01,58.67,20.0,1.0318,0.9909,61.33,19.67,0.00067055,0.00078217,8812,7452
GIVE2GIVE REALTY,11,4170285.0,350000.0,225.43,25.0,28.0,1.0052,0.9923,44.64,48.27,0.00245868,0.00078184,3778,7453
Hayden & Bach,5,4170000.0,680000.0,528.8,33.4,46.0,0.9787,0.9212,36.0,16.2,0.00111758,0.00078179,6570,7454
"Fran Garofalo, Broker",2,4170000.0,2085000.0,672.59,41.5,41.5,0.9233,0.9233,53.5,25.5,0.00044703,0.00078179,10564,7454
EMPIRE REALTY GROUP,8,4169887.0,480000.0,291.33,53.38,30.0,0.9967,0.9641,104.5,36.88,0.00178813,0.00078177,4808,7456
Maxim Real Estate Group Inc.,7,4167400.0,649000.0,355.81,33.29,25.0,0.9911,0.9896,50.57,27.14,0.00156461,0.0007813,5273,7457
Gary Tam,3,4166880.0,1270000.0,622.63,16.33,13.0,0.9963,1.0067,16.67,19.67,0.00067055,0.00078121,8812,7458
Gratitude Realty,6,4164999.0,685000.0,526.66,32.17,16.0,0.9883,0.9597,34.5,20.17,0.0013411,0.00078085,5843,7459
Jason Elle Real Estate Inc,7,4164000.0,576000.0,480.0,36.29,12.0,1.0064,0.9655,58.71,40.0,0.00156461,0.00078067,5273,7460
Opes Real Estate Group,3,4163350.0,1343350.0,472.38,9.67,6.0,1.0056,1.0056,9.67,29.0,0.00067055,0.00078054,8812,7461
Benchmark Realty,7,4160000.0,600000.0,558.08,32.43,18.0,0.9835,0.9823,35.43,34.71,0.00156461,0.00077992,5273,7462
TeamKane Realty,5,4160000.0,855000.0,715.62,8.6,6.0,0.9931,1.0082,10.4,15.6,0.00111758,0.00077992,6570,7462
World Premier Realty WPR,4,4160000.0,1017500.0,447.74,55.5,32.5,0.9637,0.9637,55.5,30.0,0.00089406,0.00077992,7515,7462
"Platinum Realty Services, Inc.",7,4159900.0,565000.0,317.09,65.43,62.0,0.9735,0.9219,76.43,55.86,0.00156461,0.0007799,5273,7465
Nancy Lozano,5,4159000.0,735000.0,518.15,37.8,20.0,1.0201,1.0024,39.4,22.8,0.00111758,0.00077973,6570,7466
Pauline Knight Realty,7,4157000.0,575000.0,476.78,86.43,67.0,0.9541,0.9091,101.29,48.86,0.00156461,0.00077935,5273,7467
Pro Mr Z Realty,10,4156500.0,405000.0,229.08,86.3,51.0,0.9778,0.9368,111.5,21.0,0.00223516,0.00077926,4060,7468
eHomes Inc.,6,4156500.0,620000.0,442.52,49.67,39.5,1.0127,0.9841,50.17,22.5,0.0013411,0.00077926,5843,7468
Instaclose R.E. Enterprises,5,4155000.0,660000.0,493.26,17.6,11.0,1.0427,1.0368,120.6,22.4,0.00111758,0.00077898,6570,7470
Astute Realty Inc,3,4155000.0,1585000.0,673.45,23.0,21.0,0.9754,0.9754,27.33,39.0,0.00067055,0.00077898,8812,7470
One Door Homes,7,4154900.0,570000.0,279.75,24.0,16.0,1.0007,0.9895,35.43,35.86,0.00156461,0.00077896,5273,7472
Elite Homes San Diego,5,4154500.0,820000.0,734.75,6.0,4.0,0.9734,0.9734,6.0,23.2,0.00111758,0.00077889,6570,7473
Platinum Real Estate Services,4,4154500.0,973500.0,708.69,17.0,10.0,1.0137,1.0006,61.75,27.25,0.00089406,0.00077889,7515,7473
Gerald Ronan Broker,4,4154000.0,1052500.0,578.41,41.0,25.0,0.9891,0.9826,41.75,36.25,0.00089406,0.00077879,7515,7475
KRE8 Realty,4,4154000.0,737500.0,618.08,29.0,31.0,1.01,1.0077,32.25,42.25,0.00089406,0.00077879,7515,7475
Executive  Bankers Realty,6,4153000.0,709000.0,600.55,56.83,32.0,0.9923,0.9636,57.67,31.67,0.0013411,0.0007786,5843,7477
Bridgepoint Realty Inc,3,4152000.0,1150000.0,637.04,65.33,14.0,0.9935,0.9499,65.67,40.33,0.00067055,0.00077842,8812,7478
CALIFORNIA REAL DEAL,5,4150000.0,594000.0,638.02,55.4,68.0,1.0169,0.9837,60.4,19.6,0.00111758,0.00077804,6570,7479
"Jeanne LaFourcade, Broker",2,4150000.0,2075000.0,896.07,32.0,32.0,0.9579,0.9276,32.0,16.5,0.00044703,0.00077804,10564,7479
Cal One Invest Co,1,4150000.0,4150000.0,1866.01,10.0,10.0,1.0671,1.0671,10.0,21.0,0.00022352,0.00077804,13484,7479
"MICHAEL HICKS, REALTOR",7,4148000.0,700000.0,483.43,30.43,12.0,0.9881,0.9634,31.43,20.14,0.00156461,0.00077767,5273,7482
Sikka Real Estate,3,4148000.0,1575000.0,705.35,10.33,10.0,1.0162,1.0162,10.33,26.33,0.00067055,0.00077767,8812,7482
Y REALTY,4,4147500.0,1090000.0,650.28,61.25,59.5,0.9998,0.9606,65.75,19.0,0.00089406,0.00077757,7515,7484
"Kristian Ardelian, Broker",3,4146000.0,1225000.0,441.6,35.67,41.0,0.9746,0.9601,37.33,38.0,0.00067055,0.00077729,8812,7485
Results Realty,6,4145000.0,642500.0,636.24,12.5,9.5,1.0064,1.001,17.5,22.0,0.0013411,0.0007771,5843,7486
Allison James Estates&Homes,5,4145000.0,650000.0,493.49,40.6,10.0,1.0434,1.0466,56.4,30.2,0.00111758,0.0007771,6570,7486
Saddleback Realty & Property Management,5,4144500.0,815000.0,285.94,37.8,20.0,0.9813,0.9691,37.8,35.2,0.00111758,0.00077701,6570,7488
Bluestar Properties Inc.,10,4144000.0,416500.0,265.24,43.7,9.5,1.0082,0.9988,50.1,27.0,0.00223516,0.00077692,4060,7489
Realty Executives Desert Lifestyles,6,4140000.0,580000.0,311.44,151.17,137.0,0.9674,0.9183,152.67,10.0,0.0013411,0.00077617,5843,7490
Stoneridge Realty,6,4140000.0,677500.0,600.82,45.83,27.5,0.9904,0.965,47.67,21.17,0.0013411,0.00077617,5843,7490
"Ernie Lim, Broker",5,4140000.0,700000.0,560.87,26.2,19.0,0.9989,0.9835,85.0,32.8,0.00111758,0.00077617,6570,7490
Re/MAX One,5,4140000.0,820000.0,495.16,54.8,49.0,0.9875,0.9191,54.8,33.6,0.00111758,0.00077617,6570,7490
Coast Real Estate Services,3,4140000.0,1300000.0,676.73,7.0,5.0,1.0207,1.0207,8.67,32.67,0.00067055,0.00077617,8812,7490
Legend RE & Finance Group,2,4140000.0,2070000.0,1049.31,9.5,9.5,1.2274,1.2274,9.5,20.5,0.00044703,0.00077617,10564,7490
PARTNER REAL ESTATE,5,4139000.0,965000.0,581.58,40.0,17.0,1.0041,0.9683,40.0,22.0,0.00111758,0.00077598,6570,7496
Aspect Realty,4,4139000.0,502500.0,838.97,25.5,11.0,0.9816,0.9875,31.0,26.5,0.00089406,0.00077598,7515,7496
Marina Beach Real Estate,5,4138500.0,749000.0,725.78,16.6,17.0,0.9664,0.9664,19.0,31.0,0.00111758,0.00077589,6570,7498
Hemet Valley Real Estate,7,4134900.0,545000.0,243.96,31.29,27.0,1.0133,1.011,48.0,34.14,0.00156461,0.00077521,5273,7499
SRC Realty,5,4134900.0,760000.0,336.26,15.4,17.0,1.003,0.9913,17.8,27.8,0.00111758,0.00077521,6570,7499
Trac Willis Real Estate,5,4130000.0,940000.0,654.29,36.4,25.0,1.0054,0.9528,41.0,30.8,0.00111758,0.00077429,6570,7501
Wilson-Meade Commercial Real Estate,5,4129999.0,540000.0,390.71,23.8,20.0,0.958,0.9562,30.4,29.4,0.00111758,0.00077429,6570,7502
"The Valerio Group, Inc.",7,4128000.0,525000.0,453.16,88.86,61.0,0.9661,0.9574,106.0,41.14,0.00156461,0.00077392,5273,7503
MGA  Associates,4,4128000.0,1001500.0,319.98,92.5,93.5,0.9645,0.9333,104.75,25.75,0.00089406,0.00077392,7515,7503
Premier One Realty Inc.,5,4127800.0,849900.0,304.61,53.0,38.0,1.0023,0.9869,68.4,22.0,0.00111758,0.00077388,6570,7505
Priority Real Estate & Lending,7,4127500.0,560000.0,390.24,21.86,20.0,1.003,0.9956,46.86,34.0,0.00156461,0.00077382,5273,7506
First Property RE & Management,4,4125000.0,1000000.0,501.31,66.25,26.5,0.9801,0.9778,85.25,26.75,0.00089406,0.00077335,7515,7507
San Diego Exclusive Properties,2,4125000.0,2062500.0,750.62,66.5,66.5,0.9793,0.9685,72.5,39.0,0.00044703,0.00077335,10564,7507
"Don Clark, Broker",1,4125000.0,4125000.0,896.74,6.0,6.0,0.9706,0.9706,6.0,31.0,0.00022352,0.00077335,13484,7507
"Fletcher Team, Inc",1,4125000.0,4125000.0,1345.4,8.0,8.0,1.0338,1.0338,9.0,17.0,0.00022352,0.00077335,13484,7507
Wilson Realty,4,4120000.0,1022500.0,592.47,64.75,11.0,0.9779,0.9689,73.25,36.0,0.00089406,0.00077242,7515,7511
"Van Thien Tran, Broker",2,4120000.0,2060000.0,710.4,38.0,38.0,0.9894,0.9305,53.5,26.0,0.00044703,0.00077242,10564,7511
Investment One,6,4119000.0,674500.0,529.0,21.33,8.5,1.0047,1.0034,22.17,30.33,0.0013411,0.00077223,5843,7513
HKH & Associates,5,4119000.0,880000.0,702.88,23.8,35.0,0.9929,0.9929,25.0,23.6,0.00111758,0.00077223,6570,7513
Homebridge Real Estate,5,4118000.0,849000.0,612.63,20.2,10.0,0.9955,0.9895,24.4,30.6,0.00111758,0.00077204,6570,7515
RS Prime Properties,4,4118000.0,860000.0,493.39,9.25,9.5,1.0111,1.0111,11.0,30.75,0.00089406,0.00077204,7515,7515
CA Real Estate Group,6,4116999.0,687499.5,496.75,72.33,70.0,0.9634,0.929,90.0,35.17,0.0013411,0.00077185,5843,7517
Fara Salamat,4,4115000.0,1010000.0,241.96,23.5,25.0,0.9623,0.9248,23.5,24.5,0.00089406,0.00077148,7515,7518
Mesa Pacific Mtg. Inv. Inc.,4,4115000.0,757500.0,582.44,11.0,6.5,1.0117,1.0129,12.5,24.75,0.00089406,0.00077148,7515,7518
"Aqyr, Inc",3,4115000.0,1150000.0,1029.76,13.0,12.0,1.1144,1.1144,13.0,23.67,0.00067055,0.00077148,8812,7518
EZ Realty,2,4115000.0,2057500.0,649.38,27.5,27.5,0.9696,0.9615,29.0,29.0,0.00044703,0.00077148,10564,7518
Blink Real Estate,5,4112888.0,525000.0,621.32,52.4,44.0,0.9838,0.9316,56.4,21.0,0.00111758,0.00077108,6570,7522
SUCCESS REAL ESTATE,9,4111900.0,420000.0,366.89,49.0,18.0,0.9815,0.9601,49.89,36.89,0.00201165,0.0007709,4401,7523
KP Realty & Associates,6,4110000.0,700000.0,680.53,60.67,69.0,1.0053,0.9915,65.33,51.33,0.0013411,0.00077054,5843,7524
First Team -Corporate Office,4,4110000.0,710000.0,407.23,27.75,15.5,1.0564,1.0583,63.5,35.0,0.00089406,0.00077054,7515,7524
Conrad Realtors,3,4110000.0,1460000.0,776.16,45.0,49.0,0.9433,0.8988,49.33,40.0,0.00067055,0.00077054,8812,7524
First Pacific Realty,3,4110000.0,1400000.0,595.74,21.67,15.0,0.9779,0.9419,40.33,37.33,0.00067055,0.00077054,8812,7524
Fortune Express Rl Est Inv.,2,4110000.0,2055000.0,699.77,32.0,32.0,0.9645,0.9645,32.0,39.0,0.00044703,0.00077054,10564,7524
San Diego Realty Pro,5,4109830.0,770000.0,511.7,31.8,10.0,1.0258,1.013,41.0,44.6,0.00111758,0.00077051,6570,7529
Summit View Estates,6,4109000.0,667000.0,399.93,23.17,14.5,0.9498,0.9452,24.0,46.33,0.0013411,0.00077036,5843,7530
Renwick Properties,3,4105000.0,825000.0,385.51,99.0,36.0,4.0122,3.9872,105.67,23.33,0.00067055,0.00076961,8812,7531
"KRISTY LITTLE, BROKER",5,4103000.0,915000.0,545.6,17.4,8.0,1.0174,1.0111,18.6,29.8,0.00111758,0.00076923,6570,7532
Titan Real Est.& Investments,7,4102074.0,650000.0,342.54,22.71,8.0,1.0041,1.0077,40.71,31.86,0.00156461,0.00076906,5273,7533
AK Real Estate Company,6,4102000.0,699000.0,445.06,44.33,38.5,0.9783,0.9422,50.17,45.5,0.0013411,0.00076904,5843,7534
Vogler Realty,10,4101482.0,420000.0,252.95,44.7,10.0,0.9874,0.986,55.8,35.3,0.00223516,0.00076895,4060,7535
Amulet Realty,3,4100000.0,1345000.0,747.22,44.0,53.0,0.9745,0.9775,44.0,47.67,0.00067055,0.00076867,8812,7536
"Gornik Group, Inc.",2,4100000.0,2050000.0,987.62,117.5,117.5,0.9441,0.8363,117.5,30.5,0.00044703,0.00076867,10564,7536
Team OC Corp.,1,4100000.0,4100000.0,1828.72,28.0,28.0,0.9172,0.9172,28.0,17.0,0.00022352,0.00076867,13484,7536
Abbot Kinney Real Estate Inc.,5,4099000.0,815000.0,650.71,16.8,7.0,1.0187,1.0187,16.8,23.4,0.00111758,0.00076848,6570,7539
Designest Realty Corp,4,4099000.0,976500.0,322.79,44.0,34.0,1.0171,0.9916,50.75,36.75,0.00089406,0.00076848,7515,7539
Jamber's Inc.,4,4099000.0,1067500.0,563.39,21.0,22.5,1.0025,0.9984,32.5,35.5,0.00089406,0.00076848,7515,7539
"Charice Fischer, Broker",2,4099000.0,2049500.0,914.02,20.5,20.5,1.015,1.0259,20.5,28.0,0.00044703,0.00076848,10564,7539
Langston Real Estate,6,4098000.0,737500.0,533.98,25.0,23.5,0.961,0.9679,28.0,37.0,0.0013411,0.00076829,5843,7543
3D REALTY,7,4097000.0,603000.0,335.1,33.29,10.0,0.9936,144.6658,58.57,67.71,0.00156461,0.00076811,5273,7544
Pacific Sotheby's Int Realty,2,4096500.0,2048250.0,773.66,103.5,103.5,1.0245,0.9826,117.5,28.0,0.00044703,0.00076801,10564,7545
Jilbert Realty & Investment,4,4096000.0,1076250.0,631.16,30.0,34.0,0.9918,1.0424,38.5,44.75,0.00089406,0.00076792,7515,7546
Ridge Realty,6,4094000.0,629500.0,482.85,19.17,18.0,1.0202,0.9951,23.5,26.0,0.0013411,0.00076754,5843,7547
Empire of Real Estate & Finance Inc.,4,4092000.0,957000.0,582.27,17.25,15.5,0.9839,0.9711,26.25,49.0,0.00089406,0.00076717,7515,7548
Pavilion Properties,1,4091000.0,4091000.0,1318.4,4.0,4.0,0.9308,0.9308,13.0,38.0,0.00022352,0.00076698,13484,7549
Landmark Real Estate & Financial,7,4090000.0,577000.0,616.8,39.86,27.0,1.0063,1.0403,44.29,25.57,0.00156461,0.00076679,5273,7550
ALTERA Real Estate,4,4090000.0,957500.0,641.19,37.75,32.0,1.0234,1.0234,60.25,17.5,0.00089406,0.00076679,7515,7550
"Thayer Properties, Inc",4,4090000.0,992500.0,576.26,25.5,23.0,0.9767,0.9718,41.5,26.5,0.00089406,0.00076679,7515,7550
"Global Capital Advisors, Inc.",3,4090000.0,1360000.0,1005.17,4.0,3.0,1.0427,1.0427,4.33,49.33,0.00067055,0.00076679,8812,7550
Avenue West Properties,2,4090000.0,2045000.0,684.09,25.5,25.5,1.0308,1.0308,25.5,55.0,0.00044703,0.00076679,10564,7550
Sea Glass Properties,3,4089800.0,1399900.0,664.09,7.0,7.0,1.0015,1.0015,24.67,30.33,0.00067055,0.00076676,8812,7555
LoanRate,4,4089000.0,787000.0,377.34,28.0,25.0,0.9765,0.9719,28.75,46.5,0.00089406,0.00076661,7515,7556
Realty World Bay Area Group,6,4088219.0,604500.0,428.86,52.5,45.5,0.9829,0.9319,52.5,43.83,0.0013411,0.00076646,5843,7557
"John Majdan, Broker",4,4086752.0,904750.0,776.26,12.5,13.0,1.0054,1.0054,16.0,26.5,0.00089406,0.00076618,7515,7558
THE FORMULA,4,4085000.0,1025000.0,597.81,10.25,9.5,1.0239,1.0239,35.0,24.75,0.00089406,0.00076586,7515,7559
